    739.3415892 +-      0.0333124 (pb)
    739.3347045 +-      0.0333121 (pb)
    737.5177138 +-      0.0331717 (pb)
    738.2820833 +-      0.0332252 (pb)
    144.3350232 +-      0.0060966 (pb)
    144.3337469 +-      0.0060965 (pb)
    143.7074815 +-      0.0060587 (pb)
    143.8036214 +-      0.0060613 (pb)
      0.1065324 +-      0.0000048 (pb)
      0.1065324 +-      0.0000048 (pb)
      0.1058121 +-      0.0000048 (pb)
      0.1006078 +-      0.0000046 (pb)
      0.4006155 +-      0.0000184 (pb)
      0.4006153 +-      0.0000184 (pb)
      0.3948241 +-      0.0000182 (pb)
      0.3662249 +-      0.0000172 (pb)
      0.0985639 +-      0.0000116 (pb)
      0.1034401 +-      0.0000080 (pb)
      0.1053326 +-      0.0000117 (pb)
      0.1053313 +-      0.0000135 (pb)
      0.0799788 +-      0.0000063 (pb)
      0.0799654 +-      0.0000072 (pb)
      0.3787474 +-      0.0000403 (pb)
      0.3982713 +-      0.0000275 (pb)
      0.4002369 +-      0.0000463 (pb)
      0.3288403 +-      0.0000264 (pb)
     18.0887883 +-      0.0020078 (pb)
    742.3049411 +-      0.0327187 (pb)
     19.4403672 +-      0.0014356 (pb)
    762.2091939 +-      0.0298708 (pb)
     19.5287441 +-      0.0022677 (pb)
    755.6842553 +-      0.0359866 (pb)
     17.5767120 +-      0.0013180 (pb)
    702.8946263 +-      0.0316671 (pb)
    144.3807759 +-      0.0059928 (pb)
    148.5082563 +-      0.0053454 (pb)
    146.9993936 +-      0.0083617 (pb)
    137.1430976 +-      0.0072077 (pb)
